简直GPT训练师，人工智能训练师，AI训练师,经验不限,本科,100-150元/时,,,朋兀,社交网络与媒体,0-20人,杭州·拱墅区·德胜,"深度学习,强化学习,自然语言处理算法,分布式训练,算法工程化经验"
ai开发工程师,1年以内,大专,10-15K,,,纸识,婚庆/摄影,0-20人,杭州·萧山区·新塘,"深度学习,机器学习,大模型算法,人像算法,图像处理库（OpenCV等）"
AI训练师,1年以内,大专,5-8K,,,法本,已上市,10000人以上,杭州·余杭区·仓前,"全职工作,不接受居家办公"
汽车电子电器产品人工智能管理工程师,1年以内,大专,20-35K·14薪,,,万维检验认证,不需要融资,100-499人,杭州·萧山区·南阳,"推荐算法,SQL,Java,算法工程化经验"
AI直播运营,1-3年,本科,8-10K·13薪,,,特看科技,天使轮,20-99人,杭州·西湖区·西溪,"不接受居家办公,带货直播,内容/脚本策划,推广引流,主播经纪人,快手,抖音（抖音火山）,淘宝"
AI产品高阶,1-3年,本科,60-90K·16薪,,,某大型互联网上市集团公司,已上市,1000-9999人,杭州,"C端产品,中后台产品,AI产品"
AI设计师,1-3年,本科,8-12K·14薪,,,巴比特,A轮,100-499人,杭州·余杭区·仓前,"视觉设计,AE,AI,PS"
AI工程师,1-3年,本科,15-30K,,,华为,不需要融资,10000人以上,杭州·滨江区·长河,"搜索/推荐,语音/图像识别,Java,Python,C/C++"
AI产品经理,1-3年,本科,4-9K,,,金口良策,天使轮,0-20人,杭州·余杭区·勾庄,"C端产品,用户产品,电商产品,Ul设计"
人工智能后端开发工程师,1-3年,本科,18-35K,,,杭州简则智能科技,不需要融资,20-99人,杭州·上城区·湖滨,"语义理解,Python,Java,其他,人工智能API,GPT,自然语言处理"
人工智能产品专家,1-3年,本科,40-70K·16薪,,,某500强上市公司,互联网,10000人以上,杭州,"C端产品,AI产品架构,AIGC,大语言模型,多模态交互等领域"
见习Java开发工程师-AI火热赛道成长快,1-3年,本科,160-200元/天,,,实在智能,B轮,100-499人,杭州·余杭区·仓前,"后端工程师,Java,MySQL,Spring,Java开发经验,计算机/软件工程相关经验,Linux,常用数据库,常见框架技术"
人工智能工程师,1-3年,本科,14-15K,,,杭州广域软件,未融资,100-499人,杭州·滨江区·白马湖,"人工智能,知识图谱"
AI绘画-剪辑师,1-3年,本科,8-13K,,,至本科技,电子商务,20-99人,杭州·滨江区·长河,"电视剧,网剧,短视频,AE,3ds MAX,达芬奇"
人工智能头部企业-AIGC算法工程师,1-3年,本科,80-100K·16薪,,,某大型移动互联网公司,不需要融资,100-499人,杭州,"Transformer,多模态,生成"
ai数据标注,1-3年,本科,5-7K,,,海天瑞声,已上市,100-499人,杭州·萧山区·钱江世纪城,"全职工作,数据标注,大模型,英文好"
人工智能产品专家（base杭州）,1-3年,本科,40-70K·16薪,,,某500强上市公司,B轮,10000人以上,杭州,"C端产品,机器学习类AI,AIGC,大模型,文心一言,百度,生成,chatgbt"
AI人工智能算法工程师,1-3年,本科,20-40K·16薪,,,芯控智能,B轮,100-499人,杭州·西湖区·黄龙,"深度学习算法,数据挖掘,人工智能,AI"
人工智能产品专家-APP,1-3年,本科,30-60K,,,某500强上市公司,互联网,10000人以上,杭州,"C端产品,AI产品,人工智能"
AI产品总监,1-3年,本科,40-50K,,,某计算机服务公司,天使轮,20-99人,杭州,"AI交互,AI产品总监"
ai产品经理,1-3年,本科,25-45K,,,某互联网公司,未融资,20-99人,杭州,B端产品
AI产品经理,1-3年,本科,20-40K·16薪,,,阿里巴巴集团,已上市,10000人以上,杭州·滨江区·长河,"C端产品,语义类AI,AI机器人,视觉类AI,语音类AI,机器学习类AI"
