兼职-AI数据标注,经验不限,学历不限,15-25元/时,,,河北鼎联科技有限公司,大数据,20-99人,大连·甘井子区·七贤岭,"兼职工作,数据标注,图片标注,标框标注,接受居家办公"
代码审核优化员（可自考，需要会go）,1-3年,大专,5-8K,,,佳壹技术,未融资,20-99人,大连·甘井子区·七贤岭,Golang
区块链研究员,1-3年,大专,10-15K,,,立信咨询,未融资,0-20人,大连·中山区·武昌街,"行业研究,区块链,宏观分析,英语,人工智能,大数据,物联网,股权投资"
U3D开发（兼职）,1-3年,大专,10-15K,,,大连虹叶教育培训,培训/辅导机构,20-99人,大连·沙河口区·西安路,"3ds Max,Maya"
AI报关操作,1-3年,大专,4-6K,,,信号旗智能,天使轮,20-99人,大连·中山区·港湾广场,"报关,单证员,弹性工作制,环境好,AI技术应用前沿,赋能传统行业"
机器人教师,1-3年,大专,4-7K,,,博佳科教集团,不需要融资,1000-9999人,大连·中山区·三八广场,"教师,教研,机器人"
管培生,1-3年,大专,8-13K·13薪,,,垠艺生物,已上市,100-499人,大连·金州区·开发区,人工智能
JAVA Script代码审核-双休 不加班,1-3年,大专,7-8K,,,领星,C轮,500-999人,大连·甘井子区·七贤岭,"Java,Spring,MySQL,JAVA Script,周末双休"
入校服务机器人教师,1-3年,大专,4-8K,,,爱伯特教育,未融资,0-20人,大连·甘井子区·生态新城,"线下教育,坐班,小班教学（3-25人）,学前儿童/小学生,熟练掌握计算机语言,全职"
云原生AI研发工程师,1-3年,大专,20-35K·16薪,,,百度,已上市,10000人以上,大连·甘井子区·高新园区,"业务导向,TensorFlow/PyTorch,Python,C/C++,机器学习算法/工程化经验,深度学习经验"
对日SAP顾问（日本六元素）,1-3年,大专,15-30K·13薪,,,六元素,未融资,100-499人,大连·甘井子区·高新园区,"SAP,Salesforce,计算机相关专业,可适应出差,日语"
兼职平面设计师,1-3年,大专,25-30元/时,,,小别小聚,餐饮,20-99人,大连·金州区·开发区,"PS,海报传单设计,户外广告设计,简约风格,AI,图案设计,接受居家办公,PhotoShop,VI设计,视觉设计,美工,画册设计,企业/自有品牌"
RPA研发,1-3年,大专,20-21K·13薪,,,某知名计算机软件公司,不需要融资,1000-9999人,大连,"分布式训练,机器学习,RPA"
兼职剪辑,1-3年,大专,1-3K,,,正中行,未融资,0-20人,大连·旅顺口区·龙王塘,"短视频,Photoshop,Premiere,剪辑,接受兼职"
C#软件开发工程师（主流IOT物联网方向）,经验不限,本科,10-15K·15薪,,,松下电器软件(大连),已上市,500-999人,大连,"C#,Python,C#开发经验,.NET开发经验,系统架构设计经验"
抖音短视频销售专员,经验不限,本科,4-9K,,,大连长松咨询培训,不需要融资,500-999人,大连·西岗区·黄河路,"企业（To B）,电话销售经验,互联网/科技,电话销售"
电气技术员,经验不限,本科,10-11K,,,大连致鹏机电设备...,机械设备/机电/重工,0-20人,大连·沙河口区·春柳,"电气,人工智能"
【双休】商品审核/在线工单-带薪年假,经验不限,本科,4-6K,,,金慧融智,不需要融资,1000-9999人,大连·沙河口区·白山路,"办公室坐班,全职工作,不接受居家办公,带薪培训,文职,无销售性质"
职业规划师,经验不限,本科,3-8K·13薪,,,金三菱,已上市,20-99人,大连·沙河口区·星海湾,"线上教育,外训,特长兴趣,人工智能,大型教育机构经验,接受兼职"
品牌公关助理,经验不限,本科,3-8K,,,申雅运营,文化艺术/娱乐,0-20人,大连·沙河口区·星海广场,运营品牌
手绘设计师,经验不限,本科,5-6K,,,甘井子区晨希电子...,文化艺术/娱乐,0-20人,大连·甘井子区·华南,"2D动画,VR/AR动画,手绘动画,动漫,PS,AI,不接受居家办公"
税务助理,经验不限,本科,2-3K,,,传程时光,培训/辅导机构,0-20人,大连·沙河口区·太原街,"人工智能,税务专员,涉税服务监管,需求方案编写"
数据科学家,经验不限,本科,12-24K·13薪,,,金永,互联网,0-20人,大连·甘井子区·高新园区,"Python,深度学习算法,自然语言处理,PyTorch,TensorFlow"
包装设计,经验不限,本科,5-10K,,,云顶,未融资,20-99人,大连·沙河口区·春柳,"PS,包装贴纸/插画设计,插画,AI,平面设计,熟悉包装规范,产品外观造型,酒水饮料,广告/设计公司,熟悉各类包装材料,沟通能力强,瓶型包装设计,快消品包装"
平面设计,经验不限,本科,5-8K,,,德仁喷印,未融资,20-99人,大连,不做原创设计
3D打印设计,经验不限,本科,5-8K,,,辰邦三维,未融资,0-20人,大连·金州区·湾里,"机械设计,模具设计 ,工业工程师,工业设计,UG,人工智能,机器人"
服装设计师助理,经验不限,本科,5-7K,,,依一,未融资,0-20人,大连·甘井子区·华南,"T恤/卫衣,工装/校服,男装"
数字孪生架构师,经验不限,本科,10-12K,,,君南圣达,未融资,500-999人,大连·甘井子区·高新园区,"C#,TypeScript,CSS,React"
电商运营总监助理,经验不限,本科,5-7K,,,睿友电子商务,未融资,20-99人,大连·甘井子区·高新园区,"电商运营,数据运营,策略运营,业务助理,运营总监助理,管理岗"
漫画师,经验不限,本科,3-5K,,,大连津宇文化传媒,未融资,0-20人,大连·沙河口区·星海湾,"全职,SAI,擅长手绘,熟练使用数位板,接受居家办公"
【疆亘星能】一级市场募资经理（大连）,经验不限,本科,15-25K,,,北京疆亘长青企业管理,投资/融资,100-499人,大连·沙河口区·星海广场,"企业内部融资职位,基金公司,股权融资经验,具有金融机构/资金渠道资源,擅长渠道开拓/客户开发,出色的商务谈判能力,股权融资,资源型人才高净值人群"
新媒体引流,经验不限,本科,8-13K,,,博誉法律,未融资,0-20人,大连·沙河口区·西安路,"策划热点事件,后期剪辑,专业脚本,矩阵营销,短视频运营,电商,插画制作"
广告设计,经验不限,本科,3-5K,,,久川传媒,广告/公关/会展,0-20人,大连·普兰店区·普兰店区中心城区,"VI设计,广告设计,海报传单设计,广告/设计公司,CDR,PS,AI"
数据挖掘初级工程师,经验不限,本科,8-13K·13薪,,,大连同欣,未融资,0-20人,大连·甘井子区·高新园区,"机器学习算法,算法设计,人工智能,大数据,数据挖掘"
数据分析工程师,经验不限,本科,7-12K·13薪,,,达硕信息技术,A轮,20-99人,大连·甘井子区·高新园区,"Python,回归分析,聚类分析,多元统计分析,决策树,相关分析,R,Matlab"
兼职债务优化/兼职财务/兼职税筹,经验不限,本科,4000-8000元/月,,,嘉煜程,未融资,100-499人,大连·金州区·先进,"财务诊断优化,税务代理/咨询,专项审计"
初级代码审核优化工程师,经验不限,本科,6-10K,,,佳蕴科技,未融资,20-99人,大连·甘井子区·七贤岭,"JavaScript,C,C#,Redis,MFC,OpenGL,音视频经验,架构设计经验,地图/导航经验"
数码修图师,经验不限,本科,3-5K,,,金禾文化传媒,广播/影视,20-99人,大连·金州区·开发区,"商业修图,人物写真,证件照,摄影工作室,杂志/媒体公司,修图工作室,AI,PS,Capture One,接受居家办公"
