java 实习生,6个月,本科,160-200元/天,,,蜂睿信息,未融资,100-499人,北京·朝阳区·三里屯,Java
java,3-5年,本科,14-17K,,,智慧盾,不需要融资,500-999人,北京·西城区·金融街,"Java,Spring,Oracle,MySQL,不接受居家办公,车联网"
java 开发工程师（agent方向）,3-5年,本科,20-40K·14薪,,,边界无限,天使轮,20-99人,北京·朝阳区·望京,"java agent方向,安全行业"
Java Leader（带15+、出行SaaS、订单、资产,3-5年,本科,70-100K·15薪,,,某大型互联网公司,不需要融资,100-499人,北京,"Java,MySQL,Redis,资产管理,订单管理,管理控制"
Java 技术经理,3-5年,本科,20-40K·13薪,,,上海翼方键数科技,未融资,20-99人,北京·海淀区·上地,"Java,Python,Spring,SpringCloud,MyBatis,MySQL,PostgreSQL,Hadoop,架构设计经验,大数据经验,微服务经验"
java 开发-数据平台,3-5年,本科,50-70K·15薪,,,某国内头部大模型公司,天使轮,20-99人,北京,"Java,Spring,Spark,不接受居家办公,大数据经验,架构设计经验"
JAVA 高P,3-5年,本科,50-70K·15薪,,,某大型移动互联网公司,不需要融资,100-499人,北京,"后端工程师,Java"
Java 开发专家（微服务观测方向）,3-5年,本科,35-50K·16薪,,,嘀嗒出行,D轮及以上,100-499人,北京·朝阳区·望京,"架构师,大数据处理经验,计算机/软件工程相关经验,分布式系统开发经验"
Java leader,3-5年,本科,50-80K·15薪,,,某大型互联网公司,不需要融资,100-499人,北京,"供应链,订单,风控"
Java 资深专家,3-5年,本科,45-75K·13薪,,,某500强上市公司,不需要融资,1000-9999人,北京,"多线程,微服务架构,后端开发"
Java 资深工程师,3-5年,本科,35-45K·16薪,,,小米,已上市,10000人以上,北京·海淀区·清河,"Java,不接受居家办公,团队管理经验,成长,分布式系统开发经验,中大型项目架构设计经验,架构师,后端工程师"
资深 Java 工程师 - 商业化方向,3-5年,本科,30-50K,,,蓝湾博阅,C轮,100-499人,北京·朝阳区·望京,"不接受居家办公,Java,Spring,SpringCloud,Dubbo,MySQL,Redis,架构设计经验,分布式经验,大数据经验"
java,3-5年,本科,30-50K·16薪,,,某外企,B轮,10000人以上,北京,"Java,JVM,Hadoop,不接受居家办公"
Java leader 效率工程方向,3-5年,本科,50-65K·16薪,,,某大型移动互联网公司,不需要融资,100-499人,北京,Java
Java leader（库存/运力）,3-5年,本科,45-75K·15薪,,,某大型综合集团公司,已上市,10000人以上,北京,"Java,Spring,MySQL,不接受居家办公,分布式经验,架构设计经验,电商,库存,运力"
Java,3-5年,本科,40-70K·14薪,,,某大型互联网公司,互联网,500-999人,北京,"Spring boot,Spring Cloud,SpringMVC"
Java leader,3-5年,本科,40-55K·16薪,,,某500强上市公司,不需要融资,1000-9999人,北京,"架构师,后端工程师,Java,Spring"
Java Leader,3-5年,本科,50-75K·16薪,,,某大型电子商务公司,B轮,500-999人,北京,"Java,Spring,MySQL,库存"
资深 Java 游戏服务器开发,3-5年,本科,40-70K,,,某大型游戏公司,B轮,100-499人,北京,"网络协议,网络编程,数据结构,架构师,后端开发,服务器端开发,Linux,NoSQL"
Senior Java Developer,5-10年,本科,30-50K,,,某大型证券公司,证券/期货,100-499人,北京,"Java,Spring,PostgreSQL"
java leader,5-10年,本科,60-90K·15薪,,,某大型互联网公司,互联网,500-999人,北京,"微服务架构,消息队列,MySQL"
Java  Lead,5-10年,本科,50-80K·15薪,,,某大型移动互联网公司,D轮及以上,500-999人,北京,"后端工程师,Java"
serverless应用架构 java go c++,5-10年,本科,40-70K,,,某500强上市公司,D轮及以上,1000-9999人,北京,"Java,C++,Golang,JVM,Redis,架构设计经验,不接受居家办公,serverless java go"
急招 OpenCV  Java   C++  Python甲方自研,5-10年,本科,14-18K,,,京投助校,C轮,100-499人,北京·昌平区·回龙观,"C++,Python,Java,Dubbo,MyBatis,SpringCloud,MySQL,Oracle,Redis,架构设计经验,分布式经验,微服务经验,Opencv,图像识别,图像算法"
Java 周末双休  14-16薪,5-10年,本科,18-28K·14薪,,,某500强上市公司,不需要融资,10000人以上,北京,"后端工程师,Java,Java开发经验,分布式系统开发经验,中大型项目架构设计经验"
Java 高级研发工程师,5-10年,本科,20-30K·13薪,,,妙同科技,A轮,20-99人,北京·朝阳区·安贞,"NOSQL,MySQL,RDBMS"
国有内部     Java,5-10年,本科,45-70K·16薪,,,某大型证券公司,未融资,500-999人,北京,Java开发经验
中级 JAVA 工程师,5-10年,本科,25-40K,,,某知名在线教育公司,B轮,1000-9999人,北京,"Java,Spring,MyBatis,SpringCloud,MySQL,Oracle,理解io 多栈层,熟悉APP开发"
JAVA   金融证券类的  长期稳定  朝阳区,5-10年,本科,12-21K,,,致远宣大,不需要融资,100-499人,北京·朝阳区·朝阳门,"Java,Spring,SpringCloud,MySQL,Spark,Oracle,证券行业,金融行业,数据库开发"
Java Leader,5-10年,本科,90-120K·16薪,,,某大型互联网上市集团公司,已上市,10000人以上,北京,"Java,c端业务经验,稳定性好"
JAVA -学信本-驻场国企,5-10年,本科,15-18K,,,泽佳科技,不需要融资,100-499人,北京·东城区·朝阳门,"Java,Spring,MySQL,不接受居家办公,微服务经验"
高级 Java 开发工程师（广告投放）(J11379),5-10年,本科,27-40K,,,Keep,D轮及以上,1000-9999人,北京·朝阳区·望京,"Java,Spring,Redis,分布式经验,增长,广告投放"
JAVA 统本学信 房租便宜,5-10年,本科,16-22K,,,汉克时代,不需要融资,1000-9999人,北京·顺义区·马坡,"Java,Docker,MySQL,K8S"
Java 高级开发工程师,5-10年,本科,30-60K·14薪,,,小米,已上市,10000人以上,北京,"分布式技术,多线程,架构师"
Java leader,5-10年,本科,30-50K,,,某大型移动互联网公司,不需要融资,100-499人,北京,Java
java leader,5-10年,本科,40-70K·14薪,,,某大型互联网公司,不需要融资,100-499人,北京,"Java,Spring,Elasticsearch,Hibernate,MySQL,Oracle,Redis,团队管理经验,架构"
java leader,5-10年,本科,60-90K·16薪,,,某大型互联网公司,B轮,500-999人,北京,"微服务架构,消息队列,Spring,MySQL,Redis"
急招 OpenCV  Java   C++  Python甲方自研,5-10年,本科,14-18K,,,京投助校,C轮,100-499人,北京·昌平区·回龙观,"C++,Python,Java,Dubbo,MyBatis,SpringCloud,MySQL,Oracle,Redis,架构设计经验,分布式经验,微服务经验,Opencv,图像识别,图像算法"
Java Leader,5-10年,本科,50-80K·16薪,,,某500强上市公司,已上市,10000人以上,北京,"Java,Java开发经验,计算机/软件工程相关经验"
国有证券急招 Java,5-10年,本科,20-40K·16薪,,,某大型证券公司,未融资,500-999人,北京,Java
资深 JAVA 开发工程师,5-10年,本科,35-45K,,,某知名互联网公司,D轮及以上,1000-9999人,北京,"Java,Spring,MySQL"
电商平台 不卷 java,5-10年,本科,40-55K·16薪,,,某大型互联网公司,互联网,500-999人,北京,"Java,Spring,SpringCloud,Spark,Redis,不接受居家办公,物联网经验,微服务经验"
Java Leader,5-10年,本科,70-80K·15薪,,,某500强上市公司,已上市,10000人以上,北京,"分布式技术,多线程,架构师,后端开发,MySQL,Redis"
急招 OpenCV  Java   C++  Python甲方自研,5-10年,本科,14-18K,,,京投助校,C轮,100-499人,北京·昌平区·回龙观,"C++,Python,Java,Dubbo,MyBatis,SpringCloud,MySQL,Redis,Oracle,架构设计经验,分布式经验,微服务经验,Opencv,图像识别,图像算法"
Java / Go / python  大模型（数据平台）,5-10年,本科,45-75K·15薪,,,某大型知名互联网公司,D轮及以上,10000人以上,北京,"后端工程师,Java,MyBatis,Python,Java开发经验,对话系统"
资深 JAVA 开发工程师,5-10年,本科,35-45K,,,某大型知名学前教育公司,未融资,10000人以上,北京,"Java,SpringCloud,HBase,Hadoop,Spark,不接受居家办公,架构设计经验,Java服务端开发"
急招 OpenCV  Java   C++  Python甲方自研,5-10年,本科,14-18K,,,京投助校,C轮,100-499人,北京·昌平区·回龙观,"C++,Python,Java,Dubbo,MyBatis,SpringCloud,MySQL,Redis,Oracle,架构设计经验,分布式经验,微服务经验,Opencv,图像识别,图像算法"
Java 技术专家,5-10年,本科,45-70K·15薪,,,某500强上市公司,D轮及以上,1000-9999人,北京,Java
急招 OpenCV   Java   C++ 可大专 先到先得,5-10年,本科,14-18K,,,京投助校,C轮,100-499人,北京·昌平区·北七家,"C++,Python,Java,MyBatis,Dubbo,SpringCloud,MySQL,Oracle,Redis,架构设计经验,分布式经验,微服务经验,Opencv,图像识别,图像算法"
Java 高级研发工程师/架构师,经验不限,本科,40-70K·16薪,,,某大型互联网金融公司,不需要融资,100-499人,北京,"Java,Spring"
急招 OpenCV   Java   C++ 可大专 先到先得,经验不限,本科,14-18K,,,京投助校,C轮,100-499人,北京·昌平区·北七家,"C++,Python,Java,MyBatis,Dubbo,SpringCloud,MySQL,Oracle,Redis,架构设计经验,分布式经验,微服务经验,Opencv,图像识别,图像算法"
Java 技术专家,经验不限,本科,45-75K·16薪,,,某大型互联网公司,D轮及以上,1000-9999人,北京,"Java,Golang,Python,SpringCloud,Spring,Kafka,MySQL"
急招 OpenCV   Java   C++ 可大专 先到先得,经验不限,本科,14-18K,,,京投助校,C轮,100-499人,北京·昌平区·北七家,"C++,Python,Java,MyBatis,Dubbo,SpringCloud,MySQL,Oracle,Redis,架构设计经验,分布式经验,微服务经验,Opencv,图像识别,图像算法"
资深后端研发—元宇宙平台 java base北京,经验不限,本科,40-65K·15薪,,,某大型O2O公司,O2O,500-999人,北京,"后端工程师,Java,Spring,Java开发经验,分布式系统开发经验,中大型项目架构设计经验"
急招 OpenCV   Java   C++ 可大专 先到先得,经验不限,本科,14-18K,,,京投助校,C轮,100-499人,北京·昌平区·北七家,"C++,Python,Java,MyBatis,Dubbo,SpringCloud,MySQL,Oracle,Redis,架构设计经验,分布式经验,微服务经验,Opencv,图像识别,图像算法"
急招 OpenCV   Java   C++ 可大专 先到先得,经验不限,本科,14-18K,,,京投助校,C轮,100-499人,北京·昌平区·北七家,"C++,Python,Java,MyBatis,Dubbo,SpringCloud,MySQL,Oracle,Redis,架构设计经验,分布式经验,微服务经验,Opencv,图像识别,图像算法"
急招 OpenCV   Java   C++ 可大专 先到先得,经验不限,本科,14-18K,,,京投助校,C轮,100-499人,北京·昌平区·北七家,"C++,Python,Java,MyBatis,Dubbo,SpringCloud,MySQL,Oracle,Redis,架构设计经验,分布式经验,微服务经验,Opencv,图像识别,图像算法"
急招 OpenCV   Java   C++ 可大专 先到先得,经验不限,本科,14-18K,,,京投助校,C轮,100-499人,北京·昌平区·北七家,"C++,Python,Java,MyBatis,Dubbo,SpringCloud,MySQL,Oracle,Redis,架构设计经验,分布式经验,微服务经验,Opencv,图像识别,图像算法"
急招 OpenCV   Java   C++ 可大专 先到先得,经验不限,本科,14-18K,,,京投助校,C轮,100-499人,北京·昌平区·北七家,"C++,Python,Java,MyBatis,Dubbo,SpringCloud,MySQL,Oracle,Redis,架构设计经验,分布式经验,微服务经验,Opencv,图像识别,图像算法"
