数据分析师,3-5年,本科,5-10K,,,策点管理咨询北京公司,咨询,0-20人,北京·房山区·长阳,"行业研究,市场研究员,分析员,SPSS,回归分析,因子分析,方差分析,多元统计分析"
数据分析师,3-5年,本科,12-24K,,,德特赛维,未融资,100-499人,北京·西城区·西直门,"SQL,Python,Java,Shell,Scala,Hadoop,MapReduce,Streaming"
数据分析师,3-5年,本科,11-20K,,,开域集团,不需要融资,1000-9999人,北京·朝阳区·望京,"SQL,数据分析/挖掘经验,互联网广告,审核结算,分析数据"
数据分析师,3-5年,本科,11-15K,,,雅智信科技,计算机软件,100-499人,北京·海淀区·二里庄,"SPSS,R,Spark,SQL,大数据,回归分析,聚类分析"
数据分析师,3-5年,本科,12-18K,,,黑丘,企业服务,0-20人,北京·东城区·东四,数据分析
数据分析师,3-5年,本科,12-20K,,,爱回收,已上市,1000-9999人,北京·大兴区·亦庄,"SQL,Python,数学/统计相关专业,计算机相关专业,电商/零售行业数据相关经验"
数据分析师,4个月,本科,120-150元/天,,,笑动科技,不需要融资,20-99人,北京·朝阳区·麦子店,"数据分析,英文,需求分析"
数据分析师,4个月,本科,20-35K·14薪,,,Magic Tavern,未融资,500-999人,北京,"SQL,Python,数学/统计相关专业,文娱/游戏行业数据相关经验"
数据分析师,4个月,本科,20-35K·15薪,,,360集团,D轮及以上,1000-9999人,北京·朝阳区·798,"数学/统计相关专业,数据分析/挖掘经验,机器学习建模经验"
数据分析师,4个月,本科,10-15K,,,黑岩,不需要融资,100-499人,北京,"SQL,Hive,R"
数据分析师,4个月,本科,50-55K,,,某大型移动互联网上市公司,已上市,500-999人,北京,数学/统计相关专业
数据分析师,4个月,本科,150-200元/天,,,北京露稀达信息技术,A轮,0-20人,北京·朝阳区·大望路,"Python,数学/统计相关专业,数据分析/挖掘经验,金融行业数据相关经验"
数据分析师,4个月,本科,10-13K,,,联想利泰,不需要融资,1000-9999人,北京·海淀区·上地,SQL
数据分析师,4个月,本科,25-45K·15薪,,,北京有竹居网络,D轮及以上,10000人以上,北京,"SQL,R,Tableau,计算机相关专业,数学/统计相关专业,数据分析/挖掘经验,python"
数据分析师,4个月,本科,11-17K,,,北京金科吉瑞科技,计算机软件,100-499人,北京·东城区·安定门,"SQL,数学/统计相关专业"
数据分析师,4个月,本科,40-70K·18薪,,,某大型知名移动互联网公司,移动互联网,10000人以上,北京,"文娱/游戏行业数据相关经验,物流行业数据相关经验"
数据分析师,4个月,本科,150-200元/天,,,百度,已上市,10000人以上,北京·海淀区·马连洼,"SQL,Python,逻辑理解,数理统计"
数据分析师,4个月,本科,20-35K·15薪,,,某大型互联网金融公司,未融资,500-999人,北京,"数据分析/挖掘经验,金融行业数据相关经验"
数据分析师,4个月,本科,15-25K,,,赤子城,已上市,1000-9999人,北京·朝阳区·劲松,"SQL,Hive"
数据分析师,4个月,本科,30-50K,,,某互联网公司,未融资,0-20人,北京,"SQL,计算机相关专业,数学/统计相关专业,数据分析,团队管理"
数据分析师,4个月,本科,11-20K·13薪,,,成丰货运,不需要融资,100-499人,北京·朝阳区·三元桥,"SQL,Hive,物流行业数据相关经验"
数据分析师,4个月,本科,13-18K,,,国网思极飞天,未融资,100-499人,北京·西城区·虎坊桥,"SQL,Python,Tableau"
数据分析师,4个月,本科,10-15K·13薪,,,北京竞秀科技有限...,不需要融资,20-99人,北京·朝阳区·国贸,"数学/统计相关专业,计算机相关专业,电商/零售行业数据相关经验"
数据分析师,4个月,本科,8-10K·15薪,,,明略科技,D轮及以上,1000-9999人,北京·朝阳区·望京,"Python,数学/统计相关专业,social,Excel"
