大数据分析工程师,经验不限,学历不限,10-15K,,,恒通信达,计算机软件,0-20人,大连·甘井子区·七贤岭,"Python,ETL,大模型应用经验"
大数据分析师,经验不限,学历不限,8-11K,,,辽宁普乐斯大数据科技,大数据,100-499人,大连·甘井子区·七贤岭,"Python,计算机相关专业"
数据标注专员,经验不限,学历不限,2-7K,,,心若数据,大数据,20-99人,大连·金州区·开发区,"全职工作,标注方法优化,标注结果抽查,数据标注,图片标注,文本标注,语音标注,区域标注,分类标注,标框标注,接受加班,数据分析能力强"
数据标注专员,经验不限,学历不限,3-5K,,,蓝海数科,不需要融资,20-99人,大连·金州区·开发区,"全职工作,数据标注,图片标注,文本标注,语音标注,区域标注,描点标注,标框标注,数据分析能力强,不接受居家办公"
数据分析师,经验不限,学历不限,7-10K·13薪,,,林创科技,不需要融资,0-20人,大连·甘井子区·七贤岭,"数据分析,数据库开发,SQL,日语N2"
数据分析师,3-5年,本科,10-11K,,,鲤享生活,天使轮,20-99人,大连·甘井子区·华南,"SQL,Python"
数据标注专员（实习）,3-5年,本科,120-130元/天,,,大连安博斯科技,不需要融资,500-999人,大连·甘井子区·高新园区,全职工作
大数据运维工程师,3-5年,本科,8-13K,,,洺源科技,未融资,20-99人,大连·金州区·开发区,"Python,服务器配置,虚拟机技术,网络协议,MySQL,Oracle,大数据运维"
数据标注实习生,3-5年,本科,120-180元/天,,,恒峰信息,未融资,100-499人,大连·甘井子区·高新园区,"图片,文字,地图"
数据分析师,3-5年,本科,4-8K,,,达硕信息技术,A轮,20-99人,大连·甘井子区·火炬路,"数据分析,代谢组学,生物医药"
数据统计,3-5年,本科,3-4K,,,禾创农业,食品/饮料/烟酒,20-99人,大连·甘井子区·周水子,本岗双休工作环境不错
商业数据分析,3-5年,本科,3-4K,,,嘉汇海运,交通/运输,0-20人,大连·中山区·三八广场,"数据分析,商务,市场推广"
商业数据分析,3-5年,本科,3-5K,,,王氏冷敷贴店,医疗健康,0-20人,大连·甘井子区·大连湾,数据分析
