job_name,experience,education,salary,other,detail_url,company_name,type,numbers,location,words
海外销售总监,3-5年,大专,2万-3.5万,暂无信息,http://jobs.zhaopin.com/CC510375620J40478653507.htm?refcode=4019&srccode=&preactionid=,深圳市安瑞创电子科技有限公司,民营,300-499人,深圳-龙华,"人工智能,物联网,企业客户（2B）,大客户（KA）,外企客户,TV,智能家居,空调"
冷库行业销售经理,1-3年,大专,8千-1.5万,暂无信息,http://jobs.zhaopin.com/CC871508020J40229921104.htm?refcode=4019&srccode=&preactionid=,劢微机器人科技(深圳)有限公司,股份制企业,100-299人,深圳-光明,人工智能
机器视觉销售工程师,3-5年,大专,8千-1.5万,暂无信息,http://jobs.zhaopin.com/CC137532490J40401637812.htm?refcode=4019&srccode=&preactionid=,钰门国际贸易(上海)有限公司,外商独资,20-99人,深圳-福田,"人工智能,软件行业,企业客户（2B）,电子/半导体,物联网,大客户（KA）,区域销售,渠道销售"
销售顾问,1-3年,大专,8千-1.6万,暂无信息,http://jobs.zhaopin.com/CC226581410J40214478405.htm?refcode=4019&srccode=&preactionid=,瑞诺国际,民营,300-499人,深圳-宝安,"电销,面销,会销,大客户（KA）,人工智能,家具/家电,物流仓储,企业客户"
外贸销售助理,1-3年,大专,6千-8千,暂无信息,http://jobs.zhaopin.com/CC871508020J40176118604.htm?refcode=4019&srccode=&preactionid=,劢微机器人科技(深圳)有限公司,股份制企业,100-299人,深圳-光明,人工智能
销售代表,1-3年,高中,5千-1万,13薪,http://jobs.zhaopin.com/CC819994600J40180234410.htm?refcode=4019&srccode=&preactionid=,深圳市微吉尔科技有限公司,股份制企业,20人以下,深圳,"电子/半导体,面销,渠道销售,网络销售,人工智能,硬件行业,通信/网络设备,网络/信息安全"
深圳区域经理,1-3年,大专,6千-1.2万,暂无信息,http://jobs.zhaopin.com/CC630633220J40405990509.htm?refcode=4019&srccode=&preactionid=,深圳市歌华智能科技有限公司,民营,20-99人,深圳-龙华,"互联网行业,人工智能,软件行业,硬件行业,网络/信息安全,院校客户,政府客户,企业客户（2B）"
大客户经理,1-3年,大专,8千-1.2万,暂无信息,http://jobs.zhaopin.com/CC282954710J40408898410.htm?refcode=4019&srccode=&preactionid=,深圳市赛其创新科技有限公司,民营,100-299人,深圳,"人工智能,电子/半导体,新能源,企业客户（2B）,渠道销售"
销售经理（深圳）,5-10年,本科,2.5万-5万,暂无信息,http://jobs.zhaopin.com/CC825622670J40465045206.htm?refcode=4019&srccode=&preactionid=,天泽智联科技股份公司,股份制企业,100-299人,深圳-福田,"人工智能,物联网,IT服务,软件行业,网络/信息安全,互联网行业,通信/网络设备"
英语外贸专员/地铁旁/可提供食宿,1-3年,大专,6千-1.2万,13薪,http://jobs.zhaopin.com/CC394702530J40348706214.htm?refcode=4019&srccode=&preactionid=,深圳市阿尔比斯快速成型技术有限公司,民营,100-299人,深圳-龙华,"英语,汽车,医疗设备/器械,人工智能,欧美市场,北美市场,澳新市场"
